competition,date,match,team,pos,pos_role,player,rater,is_human,original_rating,goals,assists,shots_ontarget,shots_offtarget,shotsblocked,chances2score,drib_success,drib_unsuccess,keypasses,touches,passes_acc,passes_inacc,crosses_acc,crosses_inacc,lballs_acc,lballs_inacc,grduels_w,grduels_l,aerials_w,aerials_l,poss_lost,fouls,wasfouled,clearances,stop_shots,interceptions,tackles,dribbled_past,tballs_acc,tballs_inacc,ycards,rcards,dangmistakes,countattack,offsides,goals_ag_otb,goals_ag_itb,saves_itb,saves_otb,saved_pen,missed_penalties,owngoals,degree_centrality,betweenness_centrality,closeness_centrality,flow_centrality,flow_success,betweenness2goals,win,lost,is_home_team,minutesPlayed,game_duration
"Euro 2016,12/06/2016,""Turkey - Croatia, 0 - 1"",Croatia,Sub,Sub,Marko Pjaca,WhoScored,0,5.97,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.083333333,0,0.420138889,0.015625,0,0,1,0,0,90,90"
"Euro 2016,12/06/2016,""Turkey - Croatia, 0 - 1"",Croatia,Sub,Sub,Marko Pjaca,TheGuardian,1,6,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.083333333,0,0.420138889,0.015625,0,0,1,0,0,90,90"
"Euro 2016,12/06/2016,""Turkey - Croatia, 0 - 1"",Turkey,DF,DR,Gokhan Gonul,Kicker,1,3.5,0,0,0,0,0,0,1,1,1,69,38,6,1,0,4,3,5,7,1,2,11,0,3,2,0,5,1,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1.5,0.236419149,0.754464286,0.558823529,1.545198149,0,0,1,0,90,90"
"Euro 2016,12/06/2016,""Turkey - Croatia, 0 - 1"",Turkey,DF,DR,Gokhan Gonul,SofaScore,0,7.2,0,0,0,0,0,0,1,1,1,69,38,6,1,0,4,3,5,7,1,2,11,0,3,2,0,5,1,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1.5,0.236419149,0.754464286,0.558823529,1.545198149,0,0,1,0,90,90"
"Euro 2016,12/06/2016,""Turkey - Croatia, 0 - 1"",Turkey,DF,DR,Gokhan Gonul,TheGuardian,1,7,0,0,0,0,0,0,1,1,1,69,38,6,1,0,4,3,5,7,1,2,11,0,3,2,0,5,1,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1.5,0.236419149,0.754464286,0.558823529,1.545198149,0,0,1,0,90,90"
"Euro 2016,12/06/2016,""Turkey - Croatia, 0 - 1"",Turkey,DF,DR,Gokhan Gonul,WhoScored,0,6.99,0,0,0,0,0,0,1,1,1,69,38,6,1,0,4,3,5,7,1,2,11,0,3,2,0,5,1,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1.5,0.236419149,0.754464286,0.558823529,1.545198149,0,0,1,0,90,90"
"Euro 2016,12/06/2016,""Turkey - Croatia, 0 - 1"",Turkey,MF,MC,Oguzhan Ozyakup,Kicker,1,4.5,0,0,0,0,0,0,1,0,0,23,14,3,0,0,0,0,3,2,1,1,5,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.857142857,0.065305306,0.603571429,0.205882353,1.160709571,0,0,1,0,46,90"
"Euro 2016,12/06/2016,""Turkey - Croatia, 0 - 1"",Turkey,MF,MC,Oguzhan Ozyakup,SofaScore,0,6.3,0,0,0,0,0,0,1,0,0,23,14,3,0,0,0,0,3,2,1,1,5,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.857142857,0.065305306,0.603571429,0.205882353,1.160709571,0,0,1,0,46,90"
"Euro 2016,12/06/2016,""Turkey - Croatia, 0 - 1"",Turkey,MF,MC,Oguzhan Ozyakup,TheGuardian,1,6,0,0,0,0,0,0,1,0,0,23,14,3,0,0,0,0,3,2,1,1,5,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.857142857,0.065305306,0.603571429,0.205882353,1.160709571,0,0,1,0,46,90"
"Euro 2016,12/06/2016,""Turkey - Croatia, 0 - 1"",Turkey,MF,MC,Oguzhan Ozyakup,WhoScored,0,5.98,0,0,0,0,0,0,1,0,0,23,14,3,0,0,0,0,3,2,1,1,5,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.857142857,0.065305306,0.603571429,0.205882353,1.160709571,0,0,1,0,46,90"
"Euro 2016,12/06/2016,""Turkey - Croatia, 0 - 1"",Turkey,DF,DC,Hakan Balta,Kicker,1,4,0,0,0,1,0,1,0,1,0,56,38,3,0,0,5,2,1,3,5,2,6,1,1,4,1,1,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1.285714286,0.181612593,0.670634921,0.411764706,0.820142781,0,0,1,0,90,90"
"Euro 2016,12/06/2016,""Turkey - Croatia, 0 - 1"",Turkey,DF,DC,Hakan Balta,SofaScore,0,7.1,0,0,0,1,0,1,0,1,0,56,38,3,0,0,5,2,1,3,5,2,6,1,1,4,1,1,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1.285714286,0.181612593,0.670634921,0.411764706,0.820142781,0,0,1,0,90,90"
"Euro 2016,12/06/2016,""Turkey - Croatia, 0 - 1"",Turkey,DF,DC,Hakan Balta,TheGuardian,1,6,0,0,0,1,0,1,0,1,0,56,38,3,0,0,5,2,1,3,5,2,6,1,1,4,1,1,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1.285714286,0.181612593,0.670634921,0.411764706,0.820142781,0,0,1,0,90,90"
"Euro 2016,12/06/2016,""Turkey - Croatia, 0 - 1"",Turkey,DF,DC,Hakan Balta,WhoScored,0,6.51,0,0,0,1,0,1,0,1,0,56,38,3,0,0,5,2,1,3,5,2,6,1,1,4,1,1,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1.285714286,0.181612593,0.670634921,0.411764706,0.820142781,0,0,1,0,90,90"
"Euro 2016,12/06/2016,""Turkey - Croatia, 0 - 1"",Turkey,MF,ML,Arda Turan,Kicker,1,5,0,0,0,0,0,0,2,1,0,46,29,2,0,0,1,0,8,6,2,2,6,0,2,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.214285714,0.133415827,0.710084034,0.352941176,0.647078757,0,0,1,0,65,90"
"Euro 2016,12/06/2016,""Turkey - Croatia, 0 - 1"",Turkey,MF,ML,Arda Turan,SofaScore,0,6.1,0,0,0,0,0,0,2,1,0,46,29,2,0,0,1,0,8,6,2,2,6,0,2,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.214285714,0.133415827,0.710084034,0.352941176,0.647078757,0,0,1,0,65,90"
"Euro 2016,12/06/2016,""Turkey - Croatia, 0 - 1"",Turkey,MF,ML,Arda Turan,TheGuardian,1,5,0,0,0,0,0,0,2,1,0,46,29,2,0,0,1,0,8,6,2,2,6,0,2,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.214285714,0.133415827,0.710084034,0.352941176,0.647078757,0,0,1,0,65,90"
"Euro 2016,12/06/2016,""Turkey - Croatia, 0 - 1"",Turkey,MF,ML,Arda Turan,WhoScored,0,6.18,0,0,0,0,0,0,2,1,0,46,29,2,0,0,1,0,8,6,2,2,6,0,2,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.214285714,0.133415827,0.710084034,0.352941176,0.647078757,0,0,1,0,65,90"
"Euro 2016,12/06/2016,""Turkey - Croatia, 0 - 1"",Turkey,FW,FW,Cenk Tosun,Kicker,1,5,0,0,0,0,0,0,0,0,0,16,5,2,0,0,0,1,1,3,6,7,4,5,1,0,1,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.642857143,0.06127462,0.52484472,0.147058824,0.467234003,0,0,1,0,69,90"
"Euro 2016,12/06/2016,""Turkey - Croatia, 0 - 1"",Turkey,FW,FW,Cenk Tosun,SofaScore,0,6.4,0,0,0,0,0,0,0,0,0,16,5,2,0,0,0,1,1,3,6,7,4,5,1,0,1,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.642857143,0.06127462,0.52484472,0.147058824,0.467234003,0,0,1,0,69,90"
"Euro 2016,12/06/2016,""Turkey - Croatia, 0 - 1"",Turkey,FW,FW,Cenk Tosun,TheGuardian,1,6,0,0,0,0,0,0,0,0,0,16,5,2,0,0,0,1,1,3,6,7,4,5,1,0,1,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.642857143,0.06127462,0.52484472,0.147058824,0.467234003,0,0,1,0,69,90"
"Euro 2016,12/06/2016,""Turkey - Croatia, 0 - 1"",Turkey,FW,FW,Cenk Tosun,WhoScored,0,5.79,0,0,0,0,0,0,0,0,0,16,5,2,0,0,0,1,1,3,6,7,4,5,1,0,1,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.642857143,0.06127462,0.52484472,0.147058824,0.467234003,0,0,1,0,69,90"
"Euro 2016,12/06/2016,""Turkey - Croatia, 0 - 1"",Turkey,Sub,Sub,Volkan Sen,Kicker,1,5,0,0,0,1,1,0,1,1,0,23,15,1,0,1,0,0,3,10,0,0,6,3,1,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1.214285714,0.153649797,0.710084034,0.220588235,0.058823529,0,0,1,0,44,90"
"Euro 2016,12/06/2016,""Turkey - Croatia, 0 - 1"",Turkey,Sub,Sub,Volkan Sen,TheGuardian,1,6,0,0,0,1,1,0,1,1,0,23,15,1,0,1,0,0,3,10,0,0,6,3,1,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1.214285714,0.153649797,0.710084034,0.220588235,0.058823529,0,0,1,0,44,90"
"Euro 2016,12/06/2016,""Turkey - Croatia, 0 - 1"",Turkey,Sub,Sub,Volkan Sen,WhoScored,0,5.7,0,0,0,1,1,0,1,1,0,23,15,1,0,1,0,0,3,10,0,0,6,3,1,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1.214285714,0.153649797,0.710084034,0.220588235,0.058823529,0,0,1,0,44,90"
"Euro 2016,12/06/2016,""Turkey - Croatia, 0 - 1"",Turkey,GK,GK,Volkan Babacan,Kicker,1,4.5,0,0,0,0,0,0,0,0,0,27,13,1,0,0,12,1,0,0,1,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,5,0,0,0,0,0.642857143,0.059432163,0.482857143,0.161764706,0,0,0,1,0,90,90"
"Euro 2016,12/06/2016,""Turkey - Croatia, 0 - 1"",Turkey,GK,GK,Volkan Babacan,SofaScore,0,7.1,0,0,0,0,0,0,0,0,0,27,13,1,0,0,12,1,0,0,1,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,5,0,0,0,0,0.642857143,0.059432163,0.482857143,0.161764706,0,0,0,1,0,90,90"
"Euro 2016,12/06/2016,""Turkey - Croatia, 0 - 1"",Turkey,GK,GK,Volkan Babacan,TheGuardian,1,5,0,0,0,0,0,0,0,0,0,27,13,1,0,0,12,1,0,0,1,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,5,0,0,0,0,0.642857143,0.059432163,0.482857143,0.161764706,0,0,0,1,0,90,90"
"Euro 2016,12/06/2016,""Turkey - Croatia, 0 - 1"",Turkey,GK,GK,Volkan Babacan,WhoScored,0,6.81,0,0,0,0,0,0,0,0,0,27,13,1,0,0,12,1,0,0,1,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,5,0,0,0,0,0.642857143,0.059432163,0.482857143,0.161764706,0,0,0,1,0,90,90"
"Euro 2016,12/06/2016,""Turkey - Croatia, 0 - 1"",Turkey,Sub,Sub,Emre Mor,TheGuardian,1,7,0,0,0,1,1,0,2,0,0,17,4,3,0,1,0,0,4,0,0,0,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.785714286,0.066299351,0.603571429,0.132352941,0.2,0,0,1,0,21,90"
"Euro 2016,12/06/2016,""Turkey - Croatia, 0 - 1"",Turkey,Sub,Sub,Emre Mor,WhoScored,0,6.08,0,0,0,1,1,0,2,0,0,17,4,3,0,1,0,0,4,0,0,0,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.785714286,0.066299351,0.603571429,0.132352941,0.2,0,0,1,0,21,90"
"Euro 2016,12/06/2016,""Turkey - Croatia, 0 - 1"",Turkey,Sub,Sub,Burak Yilmaz,TheGuardian,1,6,0,0,0,0,0,0,0,0,0,4,2,0,0,0,0,0,0,1,1,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.214285714,0.023440371,0.482857143,0.014705882,0,0,0,1,0,25,90"
"Euro 2016,12/06/2016,""Turkey - Croatia, 0 - 1"",Turkey,Sub,Sub,Burak Yilmaz,WhoScored,0,6,0,0,0,0,0,0,0,0,0,4,2,0,0,0,0,0,0,1,1,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.214285714,0.023440371,0.482857143,0.014705882,0,0,0,1,0,25,90"
"Euro 2016,12/06/2016,""Germany - Ukraine, 2 - 0"",Germany,MF,AMC,Mesut Ozil,WhoScored,0,7.7,0,1,1,0,0,1,0,0,0,65,48,5,1,3,1,1,3,2,0,1,10,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1.692307692,0.333310439,0.791208791,0.4875,1.57456442,0.034482759,1,0,0,90,90"
"Euro 2016,12/06/2016,""Germany - Ukraine, 2 - 0"",Germany,MF,AMC,Mesut Ozil,SofaScore,0,7.4,0,1,1,0,0,1,0,0,0,65,48,5,1,3,1,1,3,2,0,1,10,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1.692307692,0.333310439,0.791208791,0.4875,1.57456442,0.034482759,1,0,0,90,90"
"Euro 2016,12/06/2016,""Germany - Ukraine, 2 - 0"",Germany,MF,AMC,Mesut Ozil,TheGuardian,1,7,0,1,1,0,0,1,0,0,0,65,48,5,1,3,1,1,3,2,0,1,10,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1.692307692,0.333310439,0.791208791,0.4875,1.57456442,0.034482759,1,0,0,90,90"
"Euro 2016,12/06/2016,""Germany - Ukraine, 2 - 0"",Germany,MF,AMC,Mesut Ozil,Kicker,1,3.5,0,1,1,0,0,1,0,0,0,65,48,5,1,3,1,1,3,2,0,1,10,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1.692307692,0.333310439,0.791208791,0.4875,1.57456442,0.034482759,1,0,0,90,90"
"Euro 2016,12/06/2016,""Germany - Ukraine, 2 - 0"",Germany,MF,AMR,Thomas Muller,WhoScored,0,7.17,0,0,1,0,0,2,2,1,1,66,40,7,0,2,3,3,6,5,1,2,16,0,1,2,0,1,2,0,1,1,0,0,0,3,0,0,0,0,0,0,0,0,1.615384615,0.137957809,0.791208791,0.4875,1.207888823,0,1,0,0,90,90"
"Euro 2016,12/06/2016,""Germany - Ukraine, 2 - 0"",Germany,MF,AMR,Thomas Muller,SofaScore,0,7.1,0,0,1,0,0,2,2,1,1,66,40,7,0,2,3,3,6,5,1,2,16,0,1,2,0,1,2,0,1,1,0,0,0,3,0,0,0,0,0,0,0,0,1.615384615,0.137957809,0.791208791,0.4875,1.207888823,0,1,0,0,90,90"
"Euro 2016,12/06/2016,""Germany - Ukraine, 2 - 0"",Germany,MF,AMR,Thomas Muller,TheGuardian,1,6,0,0,1,0,0,2,2,1,1,66,40,7,0,2,3,3,6,5,1,2,16,0,1,2,0,1,2,0,1,1,0,0,0,3,0,0,0,0,0,0,0,0,1.615384615,0.137957809,0.791208791,0.4875,1.207888823,0,1,0,0,90,90"
"Euro 2016,12/06/2016,""Germany - Ukraine, 2 - 0"",Germany,MF,AMR,Thomas Muller,Kicker,1,4.5,0,0,1,0,0,2,2,1,1,66,40,7,0,2,3,3,6,5,1,2,16,0,1,2,0,1,2,0,1,1,0,0,0,3,0,0,0,0,0,0,0,0,1.615384615,0.137957809,0.791208791,0.4875,1.207888823,0,1,0,0,90,90"
"Euro 2016,12/06/2016,""Germany - Ukraine, 2 - 0"",Germany,Sub,Sub,Andre Schurrle,WhoScored,0,6.45,0,0,0,1,0,1,0,0,0,7,4,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.692307692,0.065953142,0.553846154,0.05,0.5,0.333333333,1,0,0,12,90"
"Euro 2016,12/06/2016,""Germany - Ukraine, 2 - 0"",Germany,Sub,Sub,Andre Schurrle,TheGuardian,1,6,0,0,0,1,0,1,0,0,0,7,4,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.692307692,0.065953142,0.553846154,0.05,0.5,0.333333333,1,0,0,12,90"
"Euro 2016,12/06/2016,""Germany - Ukraine, 2 - 0"",Germany,Sub,Sub,Bastian Schweinsteiger,WhoScored,0,6.92,1,0,1,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.230769231,0,0.461538462,0.025,0.5,0.5,1,0,0,90,90"
"Euro 2016,12/06/2016,""Germany - Ukraine, 2 - 0"",Germany,Sub,Sub,Bastian Schweinsteiger,TheGuardian,1,6,1,0,1,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.230769231,0,0.461538462,0.025,0.5,0.5,1,0,0,90,90"
"Euro 2016,12/06/2016,""Germany - Ukraine, 2 - 0"",Ukraine,DF,DR,Artem Fedetskyy,Kicker,1,3.5,0,0,0,0,0,0,0,0,1,48,19,8,1,1,4,5,8,4,1,3,14,1,2,3,0,1,7,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1.307692308,0.281690996,0.738461538,0.428571429,0.474596577,0,0,1,0,90,90"
"Euro 2016,12/06/2016,""Germany - Ukraine, 2 - 0"",Ukraine,DF,DR,Artem Fedetskyy,WhoScored,0,6.7,0,0,0,0,0,0,0,0,1,48,19,8,1,1,4,5,8,4,1,3,14,1,2,3,0,1,7,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1.307692308,0.281690996,0.738461538,0.428571429,0.474596577,0,0,1,0,90,90"
"Euro 2016,12/06/2016,""Germany - Ukraine, 2 - 0"",Ukraine,MF,AMC,Viktor Kovalenko,Kicker,1,3.5,0,0,0,0,0,0,0,1,0,21,15,3,0,0,1,1,2,5,0,3,7,1,1,0,0,2,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0.615384615,0.041437097,0.553846154,0.265306122,0.411650826,0,0,1,0,74,90"
"Euro 2016,12/06/2016,""Germany - Ukraine, 2 - 0"",Ukraine,MF,AMC,Viktor Kovalenko,SofaScore,0,6.2,0,0,0,0,0,0,0,1,0,21,15,3,0,0,1,1,2,5,0,3,7,1,1,0,0,2,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0.615384615,0.041437097,0.553846154,0.265306122,0.411650826,0,0,1,0,74,90"
"Euro 2016,12/06/2016,""Germany - Ukraine, 2 - 0"",Ukraine,MF,AMC,Viktor Kovalenko,WhoScored,0,5.89,0,0,0,0,0,0,0,1,0,21,15,3,0,0,1,1,2,5,0,3,7,1,1,0,0,2,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0.615384615,0.041437097,0.553846154,0.265306122,0.411650826,0,0,1,0,74,90"
"Euro 2016,12/06/2016,""Germany - Ukraine, 2 - 0"",Ukraine,MF,AMC,Viktor Kovalenko,TheGuardian,1,5,0,0,0,0,0,0,0,1,0,21,15,3,0,0,1,1,2,5,0,3,7,1,1,0,0,2,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0.615384615,0.041437097,0.553846154,0.265306122,0.411650826,0,0,1,0,74,90"
"Euro 2016,12/06/2016,""Germany - Ukraine, 2 - 0"",Ukraine,MF,DMC,Taras Stepanenko,Kicker,1,4,0,0,0,0,0,0,0,0,0,29,16,3,0,1,1,2,1,0,3,0,5,1,1,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.230769231,0.226539639,0.692307692,0.285714286,0,0,0,1,0,90,90"
"Euro 2016,12/06/2016,""Germany - Ukraine, 2 - 0"",Ukraine,MF,DMC,Taras Stepanenko,SofaScore,0,6.4,0,0,0,0,0,0,0,0,0,29,16,3,0,1,1,2,1,0,3,0,5,1,1,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.230769231,0.226539639,0.692307692,0.285714286,0,0,0,1,0,90,90"
"Euro 2016,12/06/2016,""Germany - Ukraine, 2 - 0"",Ukraine,MF,DMC,Taras Stepanenko,WhoScored,0,6.29,0,0,0,0,0,0,0,0,0,29,16,3,0,1,1,2,1,0,3,0,5,1,1,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.230769231,0.226539639,0.692307692,0.285714286,0,0,0,1,0,90,90"
"Euro 2016,12/06/2016,""Germany - Ukraine, 2 - 0"",Ukraine,MF,DMC,Taras Stepanenko,TheGuardian,1,5,0,0,0,0,0,0,0,0,0,29,16,3,0,1,1,2,1,0,3,0,5,1,1,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.230769231,0.226539639,0.692307692,0.285714286,0,0,0,1,0,90,90"
"Euro 2016,12/06/2016,""Germany - Ukraine, 2 - 0"",Ukraine,GK,GK,Andriy Pyatov,Kicker,1,1.5,0,0,0,0,0,0,0,0,0,33,13,3,0,0,6,3,0,0,1,0,4,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,2,3,4,0,0,0,1.076923077,0.272422429,0.615384615,0.285714286,0,0,0,1,0,90,90"
"Euro 2016,12/06/2016,""Germany - Ukraine, 2 - 0"",Ukraine,GK,GK,Andriy Pyatov,SofaScore,0,7.7,0,0,0,0,0,0,0,0,0,33,13,3,0,0,6,3,0,0,1,0,4,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,2,3,4,0,0,0,1.076923077,0.272422429,0.615384615,0.285714286,0,0,0,1,0,90,90"
"Euro 2016,12/06/2016,""Germany - Ukraine, 2 - 0"",Ukraine,GK,GK,Andriy Pyatov,WhoScored,0,7.75,0,0,0,0,0,0,0,0,0,33,13,3,0,0,6,3,0,0,1,0,4,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,2,3,4,0,0,0,1.076923077,0.272422429,0.615384615,0.285714286,0,0,0,1,0,90,90"
"Euro 2016,12/06/2016,""Germany - Ukraine, 2 - 0"",Ukraine,GK,GK,Andriy Pyatov,TheGuardian,1,5,0,0,0,0,0,0,0,0,0,33,13,3,0,0,6,3,0,0,1,0,4,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,2,3,4,0,0,0,1.076923077,0.272422429,0.615384615,0.285714286,0,0,0,1,0,90,90"
"Euro 2016,12/06/2016,""Germany - Ukraine, 2 - 0"",Ukraine,DF,DL,Viacheslav Shevchuk,Kicker,1,3.5,0,0,0,1,0,1,0,1,0,48,15,11,0,3,0,5,3,2,0,1,19,1,0,4,1,1,1,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1.230769231,0.225476025,0.738461538,0.346938776,0,0,0,1,0,90,90"
"Euro 2016,12/06/2016,""Germany - Ukraine, 2 - 0"",Ukraine,DF,DL,Viacheslav Shevchuk,SofaScore,0,6.2,0,0,0,1,0,1,0,1,0,48,15,11,0,3,0,5,3,2,0,1,19,1,0,4,1,1,1,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1.230769231,0.225476025,0.738461538,0.346938776,0,0,0,1,0,90,90"
"Euro 2016,12/06/2016,""Germany - Ukraine, 2 - 0"",Ukraine,DF,DL,Viacheslav Shevchuk,WhoScored,0,5.86,0,0,0,1,0,1,0,1,0,48,15,11,0,3,0,5,3,2,0,1,19,1,0,4,1,1,1,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1.230769231,0.225476025,0.738461538,0.346938776,0,0,0,1,0,90,90"
"Euro 2016,12/06/2016,""Germany - Ukraine, 2 - 0"",Ukraine,DF,DL,Viacheslav Shevchuk,TheGuardian,1,5,0,0,0,1,0,1,0,1,0,48,15,11,0,3,0,5,3,2,0,1,19,1,0,4,1,1,1,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1.230769231,0.225476025,0.738461538,0.346938776,0,0,0,1,0,90,90"
"Euro 2016,12/06/2016,""Germany - Ukraine, 2 - 0"",Ukraine,MF,DMC,Serhiy Sydorchuk,Kicker,1,5,0,0,0,0,0,0,2,0,0,29,13,3,1,1,1,1,7,5,0,2,7,0,1,0,1,1,2,1,1,0,0,0,0,2,0,0,0,0,0,0,0,0,1.076923077,0.154377518,0.65158371,0.265306122,0,0,0,1,0,90,90"
"Euro 2016,12/06/2016,""Germany - Ukraine, 2 - 0"",Ukraine,MF,DMC,Serhiy Sydorchuk,SofaScore,0,7,0,0,0,0,0,0,2,0,0,29,13,3,1,1,1,1,7,5,0,2,7,0,1,0,1,1,2,1,1,0,0,0,0,2,0,0,0,0,0,0,0,0,1.076923077,0.154377518,0.65158371,0.265306122,0,0,0,1,0,90,90"
"Euro 2016,12/06/2016,""Germany - Ukraine, 2 - 0"",Ukraine,MF,DMC,Serhiy Sydorchuk,WhoScored,0,6.65,0,0,0,0,0,0,2,0,0,29,13,3,1,1,1,1,7,5,0,2,7,0,1,0,1,1,2,1,1,0,0,0,0,2,0,0,0,0,0,0,0,0,1.076923077,0.154377518,0.65158371,0.265306122,0,0,0,1,0,90,90"
"Euro 2016,12/06/2016,""Germany - Ukraine, 2 - 0"",Ukraine,MF,DMC,Serhiy Sydorchuk,TheGuardian,1,5,0,0,0,0,0,0,2,0,0,29,13,3,1,1,1,1,7,5,0,2,7,0,1,0,1,1,2,1,1,0,0,0,0,2,0,0,0,0,0,0,0,0,1.076923077,0.154377518,0.65158371,0.265306122,0,0,0,1,0,90,90"
"Euro 2016,12/06/2016,""Germany - Ukraine, 2 - 0"",Ukraine,FW,FW,Roman Zozulia,Kicker,1,5,0,0,0,0,0,0,0,0,0,7,3,1,0,0,0,0,0,2,2,5,4,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.307692308,0.030261378,0.395604396,0.040816327,0,0,0,1,0,66,90"
"Euro 2016,12/06/2016,""Germany - Ukraine, 2 - 0"",Ukraine,FW,FW,Roman Zozulia,WhoScored,0,5.8,0,0,0,0,0,0,0,0,0,7,3,1,0,0,0,0,0,2,2,5,4,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.307692308,0.030261378,0.395604396,0.040816327,0,0,0,1,0,66,90"
"Euro 2016,12/06/2016,""Germany - Ukraine, 2 - 0"",Ukraine,Sub,Sub,Oleksandr Zinchenko,WhoScored,0,6.02,0,0,0,0,0,0,0,0,0,8,6,0,0,0,0,0,0,1,0,0,2,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.461538462,0.061149947,0.527472527,0.06122449,0.25,0,0,1,0,16,90"
"Euro 2016,12/06/2016,""Germany - Ukraine, 2 - 0"",Ukraine,Sub,Sub,Oleksandr Zinchenko,TheGuardian,1,5,0,0,0,0,0,0,0,0,0,8,6,0,0,0,0,0,0,1,0,0,2,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.461538462,0.061149947,0.527472527,0.06122449,0.25,0,0,1,0,16,90"
